ROWS_SITE_ID,HYDRO_SITE_ID,HYDSTRA_SITE_ID,PARENT_ID,STORAGES_PARENT,SHORT_NAME,LONG_NAME,DATA_ENTRY,DATA_ENTRY_PARAMS,DATA_ENTRY_SEQ,OPS_REACH,OPS_REACH_SEQ,RATING,CAPACITY,PARAMS2HYDRO_OBS,PARAMS2HYDRO_FCST,PARAMS2HYDRO_CALC,TO_MDBC_OPS,DOWNSTREAM_SITE,FSL,FSV,SURL,SURV,OPT,OPC,OPT_SENSOR_2,LATITUDE,LONGITUDE,GAUGEZ,ELEVATION,CEASE_TO_FLOW,CATCHMENT,STATION_TYPE,MODEL_TYPE,EWSRC_ID,H_TIMESTEP,Q_TIMESTEP,V_TIMESTEP,DEAD_STORAGE,R_WEEKLY,R_FLOW_SAL,R_STORAGE,R_FLOW_LEVEL,R_RIVER_SAL,FL_MAJOR,FL_MODERATE,FL_MINOR,SMS_CMD,SMS_NO,V_H_HMAX,V_H_HMIN,V_H_SMAX,V_H_SMIN,V_H_ROR,V_H_ROF,V_H_SRD,V_H_SRT,V_Q_HMAX,V_Q_HMIN,V_Q_SMAX,V_Q_SMIN,V_Q_ROR,V_Q_ROF,V_Q_SRD,V_Q_SRT,V_WT_HMAX,V_WT_HMIN,V_WT_SMAX,V_WT_SMIN,V_WT_ROR,V_WT_ROF,V_WT_SRD,V_WT_SRT,V_AT_HMAX,V_AT_HMIN,V_AT_SMAX,V_AT_SMIN,V_AT_ROR,V_AT_ROF,V_AT_SRD,V_AT_SRT,V_EC_HMAX,V_EC_HMIN,V_EC_SMAXR,V_EC_SMIN,V_EC_ROR,V_EC_ROF,V_EC_SRD,V_EC_SRT,V_DO_HMAX,V_DO_HMIN,V_DO_SMAX,V_DO_SMIN,V_DO_ROR,V_DO_ROF,V_DO_SRD,V_DO_SRT,SO_H_MAX,SO_H_MIN,SO_H_WL1,SO_Q_MAX,SO_Q_MIN,SO_Q_WL1,H_OBS,Q_OBS,P_OBS,WT_OBS,AT_OBS,EC_OBS,DO_OBS,EVAP_OBS,pH_OBS,H_PREFERRED,Q_PREFERRED,P_PREFERRED,V_PREFERRED,EC_PREFERRED,WT_PREFERRED,AT_PREFERRED,DO_PREFERRED,EVAP_PREFERRED,pH_PREFERRED,THRESHOLD,SOURCE_PARAMS,SOURCE_SEQ,EWSRC_Q_SEQ,EWSRC_QORD_SEQ,EWSRC_H_SEQ,EWSRC_V_SEQ,EWSRC_P_SEQ,EWSRC_E_SEQ,EWSRC_EC_SEQ,FLOOD_OPS,FLOOD_OPS_PARAMS,DAILY_FLOOD
R_023894,,023894,,,HINDMARSH AWS,HINDMARSH ISLAND AWS,,,,,,,,,,,,,,,,,,BOM,,-35.51940000,138.81770000,,0.000,,South Australia Murray,Meteo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,,,,OPT,OPT,OPC,OPT,OPT,OPT,OPT,OPT,OPC,,,,,,,,,,,,,,
R_024007,LOXTMET,024007,,,Loxton Met Station,Loxton Met Station,SouthOz,P;EVAP;EVAP.fao56;EVAP.mlake;,SOU_33,,,,,EVAP;P;EVAP.fao56;EVAP.mlake;,,,SouthOz,,,,,,,SILO,,-34.45280000,140.56810000,0.000,0.000,,South Australia,Meteo,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,Y,,OPT,OPT,OPC,OPT,OPT,OPT,OPT,OPT,OPC,,,P;EVAP;,100,,,,,EWS_OP_039,EWS_OE_039,,,,
R_024518,MENGMET,024518,,,Meningie Met Station,Meningie Met Station,SouthOz,P;EVAP;EVAP.fao56;EVAP.mlake;,SOU_62,,,,,EVAP;P;EVAP.fao56;EVAP.mlake;,,,SouthOz,,,,,,,SILO,,-35.69020000,139.33750000,0.000,0.000,,South Australia,Meteo,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,Y,,OPT,OPT,OPC,OPT,OPT,OPT,OPT,OPT,OPC,,,P;EVAP;,101,,,,,EWS_OP_041,EWS_OE_041,,,,
R_024519,MILAMET,024519,R_LKALEX,,Milang Met Station,Milang Met Station,Goolwa,P;EVAP;EVAP.fao56;EVAP.mlake;,GOO_08,,,,,P;EVAP;EVAP.fao56;EVAP.mlake;,,,Goolwa,,,,,,,SILO,,-35.40680000,138.97010000,0.000,0.000,,South Australia,Meteo,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,Y,,OPT,OPT,OPC,OPT,OPT,OPT,OPT,OPT,OPC,,,P;EVAP;,102,,,,,EWS_OP_042,EWS_OE_042,,,,
R_024521,,024521,,,MURRAY BRIDGE,MURRAY BRIDGE,,,,,,,,,,,,,,,,,,BOM,,-35.12000000,139.26000000,,33.000,,South Australia Murray,Meteo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,,,,OPT,OPT,OPC,OPT,OPT,OPT,OPT,OPT,OPC,,,,,,,,,,,,,,
R_024536,TAILMET,024536,,,Tailem Bend Post Office,Tailem Bend Post Office,SouthOz,P;EVAP;EVAP.fao56;EVAP.mlake;,SOU_48,,,,,EVAP;P;EVAP.fao56;EVAP.mlake;,,,SouthOz,,,,,,,SILO,,-35.25472222,139.45416667,0.000,0.000,,South Australia,Meteo,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,Y,,OPT,OPT,OPC,OPT,OPT,OPT,OPT,OPT,OPC,,,P;EVAP;,103,,,,,EWS_OP_045,EWS_OE_045,,,,
R_046012,,046012,,,WILCANNIA AIRPORT,WILCANNIA AERODROME AWS (CBM),,,,,,,,,,,,,,,,,,BOM,,-31.51940000,143.38500000,,94.300,,,Meteo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,,,,OPT,OPT,OPC,OPT,OPT,OPT,OPT,OPT,OPC,,,,,,,,,,,,,,
R_046043,WILCMET,046043,,,Wilcannia (Reid St) Met,Wilcannia (Reid St) (CBM),Menindee,P;EVAP;EVAP.fao56;EVAP.mlake;,MEN_33,,,,,P;EVAP;EVAP.fao56;EVAP.mlake;,,,menindee,,,,,,,SILO,,-31.56850000,143.37120000,0.000,0.000,,Lower Darling,Meteo,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,Y,,OPT,OPT,OPC,OPT,OPT,OPT,OPT,OPT,OPC,,,P;EVAP;,104,,,,,EWS_OP_046,EWS_OE_046,,,,
R_047016,LVICMET,047016,,,LAKE VICTORIA (STO),LAKE VICTORIA STORAGE,SouthOz,P;EVAP;EVAP.fao56;EVAP.mlake;,SOU_16,,,,,P;EVAP;EVAP.fao56;EVAP.mlake;,,,SouthOz,,,,,,,SILO,,-34.04020000,141.26380000,0.000,35.888,0.000,South Australia,meteo,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,Y,,OPT,OPT,OPC,OPT,OPT,OPT,OPT,OPT,OPC,OPT,,P;EVAP;,,,,,,,,,,,
R_047019,MENINPO,047019,,,MENINDEE POST OFFICE,MENINDEE POST OFFICE (CBM),Menindee,P;EVAP;EVAP.fao56;EVAP.mlake;,MEN_34,,,,,P;EVAP;EVAP.fao56;EVAP.mlake;,,,menindee,,,,,,,BOM;SILO,,-32.39850000,142.42130000,,-0.860,,Lower Darling,Meteo,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,,Y,,OPT,OPT,OPC,OPT,OPT,OPT,OPT,OPT,OPC,,,P;EVAP;,105,,,,,EWS_OP_040,EWS_OE_040,,,,
