ROWS_SITE_ID,SDF_SITE_ID
R_401012,4
R_401013,3
R_401014,5
R_401201A,7
R_401203A,2
R_401204A,6
R_401208A,6
R_401210A,6
R_401211A,6
R_401216A,6
R_401217A,6
R_401220B,6
R_401229A,27
R_401230A,52
R_401231A,6
R_401549,6
R_402203A,30
R_402204A,6
R_402205A,54
R_402220A,18
R_402222A,49
R_403205C,22
R_403213A,15
R_403220B,6
R_403227A,6
R_403228B,6
R_403230A,6
R_403233A,6
R_403241A,6
R_403242C,6
R_404210D,6
R_405204C,6
R_405232C,6
R_406202C,6
R_407202C,6
R_407209A,6
R_407251A,6
R_407252A,6
R_409002,6
R_409003,6
R_409005,6
R_409008,6
R_409013,6
R_409014,6
R_409016,6
R_409017,6
R_409019,6
R_409020,6
R_409022,6
R_409023,6
R_409024,6
R_409025,6
R_409026,6
R_409029,6
R_409030,6
R_409035,6
R_409036,6
R_409037,6
R_409044,6
R_409045,6
R_409047,6
R_409048,6
R_409056,6
R_409061,6
R_409062,6
R_409075,6
R_409086,6
R_409098,6
R_409100,6
R_409103,6
R_409202A,6
R_409204C,6
R_409207B,6
R_409214A,6
R_409215B,6
R_409701E,6
R_409710A,6
R_409722A,6
R_410130,6
R_410134,6
R_414200A,6
R_414201B,6
R_414203C,6
R_414207A,6
R_414211B,6
R_425007,6
R_425008,6
R_425010,6
R_425012,6
R_425014,6
R_425018,6
R_425024,6
R_425025,6
R_425034,6
R_425042,6
R_425043,6
R_425044,6
R_426200A,6
R_6ON7CHN,6
R_A4260500,6
R_A4260502,6
R_A4260505,6
R_A4260507,6
R_A4260509,6
R_A4260511,6
R_A4260513,6
R_A4260515,6
R_A4260517,6
R_A4260519,6
R_A4260525,6
R_A4260526,6
R_A4260527,6
R_A4260553,6
R_A4260570,6
R_A4260571,6
R_A4260903,6
R_AVOCA,6
R_BARRCK,6
R_BARRFSH,6
R_BARRPUM,6
R_BOGAIN,6
R_BOGAOUT,6
R_BURPUMP,6
R_CAW2DAR,6
R_CHANNL9,6
R_COOMPUM,6
R_CURLPUM,6
R_FLOWTOSA,6
R_FMITPUM,6
R_KHANCOB,6
R_MERBPUM,6
R_MILLPUM,6
R_MOIRPUM,6
R_MUR1REL,6
R_PIPUMPS,6
R_PRESMAK,6
R_REDCPUM,6
R_ROBVPUM,6
R_TANDIV,6
R_WCORPUM,6
