ROWS_SITE_ID,SOURCE_ID,SUB_CATCH,JAN_640_EVAP,FEB_640_EVAP,MAR_640_EVAP,APR_640_EVAP,MAY_640_EVAP,JUN_640_EVAP,JUL_640_EVAP,AUG_640_EVAP,SEP_640_EVAP,OCT_640_EVAP,NOV_640_EVAP,DEC_640_EVAP,JAN_650_EVAP,FEB_650_EVAP,MAR_650_EVAP,APR_650_EVAP,MAY_650_EVAP,JUN_650_EVAP,JUL_650_EVAP,AUG_650_EVAP,SEP_650_EVAP,OCT_650_EVAP,NOV_650_EVAP,DEC_650_EVAP
R_024007,b-LOXTMET,ewSource_RO_lower,6.4,5.83,4.96,3.21,2.04,1.44,1.62,2.22,3.2,4.65,5.69,6.72,6.495,5.862,4.422,2.796,1.579,1.098,1.253,2.006,3.104,4.328,5.446,6.26
R_024518,b-MENGMET,ewSource_RO_lower,5.11,4.66,3.95,2.59,1.65,1.16,1.29,1.79,2.52,3.69,4.5,5.39,5.787,5.177,3.826,2.424,1.358,0.937,1.087,1.735,2.672,3.856,4.842,5.553
R_024519,b-MILAMET,ewSource_RO_lower,5.22,4.75,4.04,2.69,1.76,1.25,1.37,1.87,2.64,3.86,4.66,5.5,5.826,5.214,3.871,2.47,1.41,0.984,1.116,1.768,2.76,3.948,4.917,5.596
R_024536,b-TAILMET,ewSource_RO_lower,5.7,5.16,4.39,2.87,1.86,1.32,1.45,1.96,2.77,4.07,4.98,5.95,6.08,5.442,4.058,2.563,1.452,1.002,1.148,1.824,2.831,4.031,5.076,5.81
R_046043,b-WILCMET,ewSource_RO_lower,7.3,6.67,5.91,4.02,2.63,1.86,2.06,2.91,4.13,5.74,6.79,7.85,7.16,6.5,5.083,3.372,2.005,1.419,1.586,2.474,3.768,5.076,6.213,6.99
R_047019,b-MENINPO,ewSource_RO_lower,7.05,6.44,5.64,3.72,2.44,1.75,1.89,2.64,3.74,5.36,6.4,7.55,7.16,6.5,5.083,3.372,2.005,1.419,1.586,2.474,3.768,5.076,6.213,6.99
R_072023,b-HUMEMET,ewSource_RO_upper,6.09,5.46,4.55,2.79,1.63,1.06,1.17,1.69,2.59,3.9,5.03,6.26,6.515,5.75,4.306,2.635,1.377,0.887,0.983,1.656,2.795,4.148,5.376,6.225
R_074128,b-DENIMET,ewSource_RO_middle,6.51,5.88,4.96,3.11,1.91,1.28,1.39,2.03,3.02,4.48,5.71,6.86,6.765,6.048,4.57,2.831,1.54,1.022,1.132,1.89,3.078,4.409,5.658,6.565
R_076031,b-MILDMET,ewSource_RO_lower,6.63,6.02,5.15,3.33,2.15,1.5,1.65,2.34,3.38,4.86,5.95,7.02,6.771,6.086,4.626,2.946,1.675,1.162,1.297,2.094,3.274,4.553,5.705,6.577
R_077094,b-SWANMET,ewSource_RO_middle,6.48,5.88,4.97,3.17,1.99,1.35,1.48,2.14,3.1,4.56,5.69,6.83,6.657,5.969,4.48,2.796,1.531,1.039,1.157,1.916,3.077,4.367,5.548,6.454
R_080023,b-KERAMET,ewSource_RO_middle,6.39,5.8,4.87,3.05,1.87,1.27,1.4,2.02,2.91,4.4,5.51,6.73,6.629,5.94,4.438,2.754,1.485,0.995,1.111,1.867,3.018,4.328,5.524,6.42
R_081057,b-YARRAPO,ewSource_RO_upper,6.38,5.74,4.76,2.95,1.77,1.16,1.24,1.77,2.66,4.1,5.35,6.65,6.662,5.939,4.445,2.733,1.449,0.941,1.03,1.737,2.889,4.259,5.526,6.422
R_082076,b-DARTMET,ewSource_RO_upper,5.53,4.95,4.12,2.51,1.53,1.01,1.06,1.59,2.4,3.62,4.57,5.63,6.084,5.315,3.948,2.41,1.256,0.811,0.904,1.535,2.617,3.887,5.029,5.811
R_A4260904,b-LVICMET,ewSource_RO_lower,6.63,6.03,5.15,3.32,2.1,1.5,1.65,2.32,3.3,4.8,5.93,7.02,6.783,6.11,4.668,2.982,1.7,1.186,1.338,2.142,3.316,4.597,5.73,6.574
