ROWS_SITE_ID,SOURCE_ID,SITE_Q_FCST_SELECT,SITE_Q_TREND_BASEQ,SITE_Q_TREND_FACTOR,SITE_Q_PULSE_RISE,SITE_Q_PULSE_PEAKQ,SITE_Q_PULSE_PEAKT,SITE_Q_PULSE_RECEDE,SITE_Q_PULSE_BASEQ,SITE_Q_AREA,JAN_MIN_QPLAN,FEB_MIN_QPLAN,MAR_MIN_QPLAN,APR_MIN_QPLAN,MAY_MIN_QPLAN,JUN_MIN_QPLAN,JUL_MIN_QPLAN,AUG_MIN_QPLAN,SEP_MIN_QPLAN,OCT_MIN_QPLAN,NOV_MIN_QPLAN,DEC_MIN_QPLAN,JAN_90_QPLAN,FEB_90_QPLAN,MAR_90_QPLAN,APR_90_QPLAN,MAY_90_QPLAN,JUN_90_QPLAN,JUL_90_QPLAN,AUG_90_QPLAN,SEP_90_QPLAN,OCT_90_QPLAN,NOV_90_QPLAN,DEC_90_QPLAN,JAN_75_QPLAN,FEB_75_QPLAN,MAR_75_QPLAN,APR_75_QPLAN,MAY_75_QPLAN,JUN_75_QPLAN,JUL_75_QPLAN,AUG_75_QPLAN,SEP_75_QPLAN,OCT_75_QPLAN,NOV_75_QPLAN,DEC_75_QPLAN,JAN_50_QPLAN,FEB_50_QPLAN,MAR_50_QPLAN,APR_50_QPLAN,MAY_50_QPLAN,JUN_50_QPLAN,JUL_50_QPLAN,AUG_50_QPLAN,SEP_50_QPLAN,OCT_50_QPLAN,NOV_50_QPLAN,DEC_50_QPLAN,SITE_Q_PULSE_DUMMY
R_401012,BIGGARA_1,Trend,500,0.95,0.75,5000,7,0.5,500,487.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_401014,PINEGRO_1,Trend,500,0.95,0.75,5000,7,0.5,500,712.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_401027,HUMEUS_1,Trend,500,0.95,0.75,5000,7,0.5,500,1,0,36,161,400,548,1167,806,419,467,65,33,0,1548,1107,742,900,1065,1967,4710,4355,5167,6871,3867,2065,2129,1857,1097,1200,1645,2700,4194,8065,8433,9000,5567,3290,3161,1679,2129,2300,2387,5067,9355,9032,14667,10323,6567,4161,0
R_401203A,HINNOMU_1,Trend,500,0.95,0.75,5000,7,0.5,500,585.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_401210A,GRANITE_1,Trend,500,0.95,0.75,5000,7,0.5,50,159.1,94,89,58,63,77,190,161,213,163,181,137,106,287,168,174,180,203,267,806,1065,1163,945,497,426,94,89,58,63,77,190,161,213,163,181,137,106,129,121,113,103,129,293,242,219,460,397,273,226,0
R_401211A,COLEMAN_1,Trend,500,0.95,0.75,5000,7,0.5,50,1,7935,8786,7935,7700,4065,200,5677,7452,8200,7935,8200,7935,5355,5929,5032,3533,1806,200,5032,5032,5533,5355,5533,5355,2452,2714,2452,2200,1484,200,2129,2452,2533,2452,2533,2452,1000,1107,1000,700,516,200,677,1000,1033,1000,1033,1000,0
R_401220B,MCCALLM_1,Trend,500,0.95,0.75,5000,7,0.5,500,179.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_401224A,DARTUS_1,Trend,500,0.95,0.75,5000,7,0.5,500,1,161,143,129,200,194,600,1097,774,767,452,567,355,516,357,258,300,387,1200,1710,3065,2433,2290,1467,742,645,571,355,367,548,1100,1774,2903,3967,3968,2000,1323,903,679,613,600,871,1700,3161,5129,5333,4194,2667,1839,0
R_401229A,CUDGEWA_1,Trend,500,0.95,0.75,5000,7,0.5,500,308.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_402203A,MONGANS_1,Trend,500,0.95,0.75,5000,7,0.5,500,167.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_402204A,OSBFLAT_1,Trend,500,0.95,0.75,5000,7,0.5,500,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_402205A,BANDIAN_1,Trend,500,0.95,0.75,5000,7,0.5,50,656.32,129,321,97,200,161,567,677,548,600,355,267,290,355,179,258,300,387,700,1484,1355,2800,1968,933,677,452,357,258,300,548,1000,1839,1806,2533,3097,1700,839,645,536,355,500,774,1533,2097,3323,3933,3097,2400,935,0
R_403213A,GRETA_1,Trend,500,0.95,0.75,5000,7,0.5,500,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_403227A,CHESHUN_1,Trend,500,0.95,0.75,5000,7,0.5,500,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_403230A,ROCKYPT_1,Trend,500,0.95,0.75,5000,7,0.5,500,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_403242C,OVENS_1,Trend,500,0.95,0.75,5000,7,0.5,500,1,,0,0,0,0,467,645,484,400,161,133,97,355,71,65,100,323,767,1613,3000,4400,2226,1533,613,452,250,355,300,516,1267,2710,7258,7800,3419,2633,935,968,464,581,567,806,3700,7419,10452,9333,6806,3367,1645,0
R_405232C,MCCOYSB_1,Trend,500,0.95,0.75,5000,7,0.5,500,1,710,786,710,767,419,333,452,452,467,452,1067,710,968,857,710,1133,774,5100,677,1355,2067,1387,2300,1129,1323,1286,1065,1200,839,1100,1774,3742,3533,1806,1333,1613,1226,929,871,1333,968,5100,8871,8710,9967,3516,3500,1323,0
R_407252A,CAPELSX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_409022,WAKCAN,,,,,,,,,,329,216,273,200,4,0,11,38,174,219,177,244,636,416,445,367,29,0,5,156,306,467,270,515,980,643,811,593,11,0,32,113,518,650,525,723,1422,928,994,822,66,0,14,346,681,1041,606,1149,0
R_409026,MULWALA,,,,,,,,,,945,650,959,661,0,0,43,105,526,746,539,683,2040,1422,1884,1147,0,0,44,246,731,1222,892,1889,2816,1938,2859,1967,0,0,126,309,1568,2222,1605,2032,4554,3173,4208,2560,0,0,99,551,1633,2732,1990,4218,0
R_409722A,YMCANAL,,,,,,,,,,1435,978,1431,951,374,0,0,196,672,871,1013,1251,2137,2124,2121,1346,252,0,0,73,359,1062,1235,2039,2083,1419,2077,1382,543,0,0,283,975,1264,1474,1818,2137,2124,2121,1346,252,0,0,73,359,1062,1235,2039,0
R_409701E,NATDS,,,,,,,,,,2056,1586,2391,1630,273,0,43,995,1184,1654,1158,1790,3321,2824,3419,2475,194,0,218,1429,1803,1894,1392,2700,2987,2304,3474,2367,398,0,65,1447,1720,2402,1681,2600,3321,2824,3419,2475,194,0,218,1429,1803,1894,1392,2700,0
R_410130,BALRAN_1,Trend,200,0.95,0.75,5000,7,0.5,200,1,226,214,226,233,355,433,839,1097,1333,1032,633,290,226,214,226,233,355,2667,839,1097,1333,1032,633,290,774,821,1097,1067,484,700,2516,2129,1500,1484,667,677,968,893,1226,1133,581,2667,6000,6226,7267,4613,1467,1032,0
R_410134,DARLOT_1,Trend,50,0.95,0.75,5000,7,0.5,200,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_425008,WILCAN_1,Trend,500,0.95,0.75,5000,7,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1677,2429,3677,3433,1774,0,0,2065,2467,2548,1500,1161,0
R_425012,WEIR32_1,Trend,500,0.95,0.75,5000,7,0.5,500,1,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,142,107,97,100,97,100,97,97,100,97,100,139,0
R_BURPUMP,BURPUMP,,,,,,,,,,32,29,26,13,6,10,6,6,17,26,30,35,26,29,26,13,6,7,3,6,10,23,27,32,19,25,23,13,6,3,0,3,7,19,20,26,16,18,13,10,3,0,0,3,7,10,13,16,0
R_COOMPUM,COOMUM,,,,,,,,,,168,125,132,60,26,10,13,23,53,142,197,206,165,121,116,60,26,10,13,19,53,135,160,184,161,118,94,57,26,7,10,13,50,123,120,158,142,104,68,53,16,3,3,10,33,74,93,139,0
R_CURLPUM,CURLPUM,,,,,,,,,,42,36,29,23,13,7,6,10,17,26,30,39,39,32,29,20,13,3,6,6,17,26,30,39,35,32,26,20,10,3,3,3,13,23,27,35,32,29,23,17,6,0,0,3,10,19,23,32,0
R_FLOWTOSA,FLOWTOSA_1,MDBC,,,,,,,,,7387,6571,6613,4767,3161,1533,3381,3842,4310,5232,9600,7806,8613,7643,6968,7500,5258,3000,3500,4000,4500,5500,10000,9258,7710,8071,6935,5100,3161,3000,3500,4000,4500,5500,9933,8129,7710,8071,6935,5100,3161,3000,19996,15740,8688,6169,9933,8129,0
R_FMITPUM,FMITPUM,,,,,,,,,,487,271,277,207,110,30,58,61,200,371,397,465,458,254,258,200,71,23,29,61,170,365,363,452,410,239,223,177,52,20,23,32,147,271,337,442,394,229,174,147,29,17,10,19,40,219,320,410,0
R_MERBPUM,MERBUM,,,,,,,,,,245,204,187,120,55,27,29,32,130,200,250,248,235,136,142,120,39,20,26,32,107,158,207,219,226,125,123,103,32,13,13,13,83,129,157,210,197,118,100,80,26,10,10,10,57,113,150,184,0
R_MILLPUM,MILLPUM,,,,,,,,,,61,54,39,30,23,7,3,16,37,23,27,55,52,39,32,23,16,7,0,13,33,19,23,52,39,36,26,20,13,3,0,3,27,19,20,45,23,0,10,17,10,0,0,0,17,6,10,26,0
R_MUR1REL,MUR1REL_1,Trend,500,0.95,0.75,5000,7,0.5,500,1,806.4516129,892.8571429,806.4516129,833.3333333,967.7419355,5000,3870.967742,3870.967742,4000,3870.967742,4000,806.4516129,1612.903226,1785.714286,967.7419355,1000,967.7419355,5000,3870.967742,3870.967742,4000,3870.967742,4000,1612.903226,1612.903226,1785.714286,967.7419355,1000,0,5000,3870.967742,3870.967742,4000,3870.967742,4000,1612.903226,967.7419355,1071.428571,1000,1000,0,2775.757576,3870.967742,3870.967742,4000,3870.967742,4000,1612.903226,
R_PRESMAK,PRESMAK_1,Trend,500,0.95,0.75,5000,7,0.5,500,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_REDCPUM,REDCUM,,,,,,,,,,326,268,210,140,74,40,74,71,160,277,320,313,319,182,174,137,55,30,68,52,130,206,287,287,294,179,168,120,42,17,55,39,117,177,213,271,258,171,129,107,32,13,16,23,80,165,187,248,0
