ROWS_SITE_ID,1_EWSRC_ID,5_EWSRC_ID,35_EWSRC_ID,36_EWSRC_ID,37_EWSRC_ID,38_EWSRC_ID,50_EWSRC_ID,51_EWSRC_ID,60_EWSRC_ID,63_EWSRC_ID,70_EWSRC_ID,79_EWSRC_ID,87_EWSRC_ID,204_EWSRC_ID,206_EWSRC_ID,211_EWSRC_ID,212_EWSRC_ID,223_EWSRC_ID,224_EWSRC_ID,278_EWSRC_ID,414_EWSRC_ID,457_EWSRC_ID,466_EWSRC_ID,490_EWSRC_ID,536_EWSRC_ID,640_EWSRC_ID,650_EWSRC_ID
R_024007,,,,,b-LOXTMET.37,,,,,,,,,,,,,,,,,,,,,b-LOXTMET.640,b-LOXTMET.650
R_024518,,,,,b-MENGMET.37,,,,,,,,,,,,,,,,,,,,,b-MENGMET.640,b-MENGMET.650
R_024519,,,,,b-MILAMET.37,,,,,,,,,,,,,,,,,,,,,b-MILAMET.640,b-MILAMET.650
R_024536,,,,,b-TAILMET.37,,,,,,,,,,,,,,,,,,,,,b-TAILMET.640,b-TAILMET.650
R_046043,,,,,b-WILCMET.37,,,,,,,,,,,,,,,,,,,,,b-WILCMET.640,b-WILCMET.650
R_047019,,,,,b-MENINPO.37,,,,,,,,,,,,,,,,,,,,,b-MENINPO.640,b-MENINPO.650
R_047058,,,,,b-MENIMET.37,b-MENIMET.38,,,,,,,,,,,,,,,,,,,,,
R_072023,,,,,b-HUMEMET.37,b-HUMEMET.38,,,,,,,,,,,,,,,,,,,,b-HUMEMET.640,b-HUMEMET.650
R_074128,,,,,b-DENIMET.37,,,,,,,,,,,,,,,,,,,,,b-DENIMET.640,b-DENIMET.650
R_076031,,,,,b-MILDMET.37,,,,,,,,,,,,,,,,,,,,,b-MILDMET.640,b-MILDMET.650
R_077094,,,,,b-SWANMET.37,,,,,,,,,,,,,,,,,,,,,b-SWANMET.640,b-SWANMET.650
R_080023,,,,,b-KERAMET.37,,,,,,,,,,,,,,,,,,,,,b-KERAMET.640,b-KERAMET.650
R_081057,,,,,b-YARRAPO.37,,,,,,,,,,,,,,,,,,,,,b-YARRAPO.640,b-YARRAPO.650
R_082076,,,,,b-DARTMET.37,b-DARTMET.38,,,,,,,,,,,,,,,,,,,,b-DARTMET.640,b-DARTMET.650
R_401012,b-BIGGARA.1,b-BIGGARA.5,,,b-BIGGARA.37,,,,,,,,,,,,,,,,,,,,,,
R_401013,b-JINGCK.1,b-JINGCK.5,,,b-JINGCK.37,,,,,,,,,,,,,,,,,,,,,,
R_401014,b-PINEGRO.1,b-PINEGRO.5,,,b-PINEGRO.37,,,,,,,,,,,,,,,,,,,,,,
R_401015,b-YAMBLA.1,,,,b-YAMBLA.37,,,,,,,,,,,,,,,,,,,,,,
R_401027,b-HUMEUS.1,,b-HUMEUS.35,b-HUMEUS.36,,,,,,,,b-HUMEUS.79,,,,,,,,,,b-HUMEUS.457,,,b-HUMEUS.536,,
R_401201A,b-JINGELL.1,b-JINGELL.5,,,b-JINGELL.37,,,,,,,,,,,,,,,,,,,,,,
R_401203A,b-HINNOMU.1,,,,b-HINNOMU.37,,,,,,,,,,,,,,,,,,,,,,
R_401204A,b-TALLAND.1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_401208A,b-BERRINM.1,,,,b-BERRINM.37,,,,,,,,,,,,,,,,,,,,,,
R_401210A,b-GRANITE.1,,,,b-GRANITE.37,,,,,,,,,,,,,,,,,,,,,,
R_401211A,b-COLEMAN.1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_401216A,b-JOKER.1,,,,b-JOKER.37,,,,,,,,,,,,,,,,,,,,,,
R_401217A,b-GIBBOPK.1,,,,b-GIBBOPK.37,,,,,,,,,,,,,,,,,,,,,,
R_401220B,b-MCCALLM.1,,,,b-MCCALLM.37,,,,,,,,,,,,,,,,,,,,,,
R_401224A,,,b-DARTUS.35,b-DARTUS.36,,,,,,,,,,,,,,,,,,,,,,,
R_401229A,b-CUDGEWA.1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_401230A,b-TOWONG.1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_401231A,b-LIGHTEN.1,,,,b-LIGHTEN.37,,,,,,,,,,,,,,,,,,,,,,
R_401549,b-BRINGEN.1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_402203A,b-MONGANS.1,,,,b-MONGANS.37,,,,,,,,,,,,,,,,,,,,,,
R_402204A,b-OSBFLAT.1,,,,b-OSBFLAT.37,,,,,,,,,,,,,,,,,,,,,,
R_402205A,b-BANDIAN.1,b-BANDIAN.5,,,,,,,,,,,,,,,,,,,,,,,,,
R_402220A,b-KIEWOVR.1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_402222A,b-KIEWPRT.1,b-KIEWPRT.5,,,,,,,,,,,,,,,,,,,,,,,,,
R_403205C,b-BRIGHT.1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_403213A,b-GRETA.1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_403220B,b-DSBUFFA.1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_403227A,b-CHESHUN.1,,,,b-CHESHUN.37,,,,,,,,,,,,,,,,,,,,,,
R_403228B,b-DSWILHO.1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_403230A,b-ROCKYPT.1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_403233A,b-BUCKLND.1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_403234A,,,b-WILLHOV.35,b-WILLHOV.36,b-WILLHOV.37,b-WILLHOV.38,,,,,,,b-WILLHOV.87,,,,,,,,,,,,,,
R_403235A,,,b-BUFFALO.35,b-BUFFALO.36,b-BUFFALO.37,b-BUFFALO.38,,,,,,,b-BUFFALO.87,,,,,,,,,,,,,,
R_403241A,b-PEECHEL.1,b-PEECHEL.5,,,,,,,,,,,,,,,,,,,,,,,,,
R_403242C,b-OVENS.1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_403250A,b-EUROBIN.1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_404210D,b-RICESWR.1,b-RICESWR.5,,,,,,,,,,,,,,,,,,,b-RICESWR.414,,b-RICESWR.466,,,,
R_404222A,b-ORRVALE.1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_405203C,b-DSEILDN.1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_405204C,b-SHEPPAR.1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_405232C,b-MCCOYSB.1,b-MCCOYSB.5,,,,,,,,,,,,,,,,,,,b-MCCOYSB.414,,b-MCCOYSB.466,,,,
R_405258A,,,,b-EILDON.36,,,,,,,,,,,,,,,,,,,,,,,
R_406202C,b-ROCHEST.1,b-ROCHEST.5,,,,,,,,,,,,,,,,,,,b-ROCHEST.414,,b-ROCHEST.466,,,,
R_407202C,b-KERANGW.1,b-KERANGW.5,,,,,,,,,,,,,,,,,,,,,,,,,
R_407205A,b-APPIN.1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_407209A,b-KOONDSP.1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_407236B,b-MTHOPE.1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_407251A,b-SHEEPCK.1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_407252A,b-CAPELSX.1,b-CAPELSX.5,,,,,,,,,,,,,,,,,,,,,,,,,
R_407601A,,,b-KANGARO.35,b-KANGARO.36,,,,,,,,,,,,,,,,,,,,,,,
R_409001,b-ALBURY.1,b-ALBURY.5,,,,,,,,,,,,,,,,,,,,,,,,,
R_409002,b-COROWA.1,b-COROWA.5,,,,,,,,,,,,,,,,,,,,,,,,,
R_409003,b-DENILQ.1,b-DENILQ.5,,,b-DENILQ.37,,,,,,,,,,,,,,,,,,,,,,
R_409005,b-BARHAM.1,b-BARHAM.5,,,,,,,,,,,,,,,,,,,,,,,,,
R_409006,b-PICNIC.1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_409008,b-EDWOFF.1,b-EDWOFF.5,,,,,,,,,,,,,,,,,,,,,,,,,
R_409013,b-STONEYX.1,b-STONEYX.5,,,,,,,,,,,,,,,,,,,,,,,,,
R_409014,b-MOULAME.1,b-MOULAME.5,,,b-MOULAME.37,,,,,,,,,,,,,,,,,,,,,,
R_409016,b-HEYWOOD.1,b-HEYWOOD.5,,,,,,,,,,,,,,,,,,,,,,,,,
R_409017,b-DOCTORS.1,b-DOCTORS.5,,,,,,,,,,,,,,,,,,,,,,,,,
R_409019,b-WAKREG.1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_409020,b-YALLREG.1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_409022,,,,,,,b-WAKCAN.50,,,,,,,,,b-WAKCAN.211,,,,,,,,,,,
R_409023,b-STEVSWR.1,b-STEVSWR.5,,,b-STEVSWR.37,,b-STEVSWR.50,,,,,,,,,,,,,,,,,,,,
R_409024,b-COLLREG.1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_409025,b-YARRADS.1,b-YARRADS.5,,,,,,,,,,,,,,,,,,,,,,,,,
R_409026,,,,,,,b-MULWALA.50,,,,,,,,,b-MULWALA.211,,,,,,,,,,,
R_409029,,,,,,,b-EDWESC.50,,,b-EDWESC.63,,,,b-EDWESC.204,,,,,,,,,,,,,
R_409030,b-GULPOFF.1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_409035,b-LIEWAH.1,b-LIEWAH.5,,,,,,,,,,,,,,,,,,,,,,,,,
R_409036,b-MERUWJ.1,b-MERUWJ.5,,,,,,,,,,,,,,,,,,,,,,,,,
R_409037,b-HOWLONG.1,b-HOWLONG.5,,,,,,,,,,,,,,,,,,,,,,,,,
R_409044,b-FRANKBR.1,b-FRANKBR.5,,,,,,,,,,,,,,,,,,,,,,,,,
R_409045,b-WAKBAR.1,b-WAKBAR.5,,,,,,,,,,,,,,,,,,,,,,,,,
R_409047,b-TOONALK.1,b-TOONALK.5,,,,,,,,,,,,,,,,,,,,,,,,,
R_409048,b-NIEMBAR.1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_409056,b-TUPPALM.1,b-TUPPALM.5,,,,,,,,,,,,,,,,,,,,,,,,,
R_409061,b-WAKCOON.1,b-WAKCOON.5,,,,,,,,,,,,,,,,,,,,,,,,,
R_409062,b-WAKGEE.1,b-WAKGEE.5,,,,,,,,,,,,,,,,,,,,,,,,,
R_409075,b-BULLATA.1,b-BULLATA.5,,,,,,,,,,,,,,,,,,,,,,,,,
R_409077,,,,,,,,,,b-FINLESC.63,,,,b-FINLESC.204,,,,,,,,,,,,,
R_409086,b-NIEMMAL.1,b-NIEMMAL.5,,,,,,,,,,,,,,,,,,,,,,,,,
R_409098,b-WADDREG.1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_409101,,,b-STEVWUS.35,,,,,,,,,,,,,,,,,,,,,,,,
R_409103,,,,,,,,,,b-WAKESC.63,,,,b-WAKESC.204,,,,,,,,,,,,,
R_409202A,b-TOCUMWA.1,b-TOCUMWA.5,,,,,,,,,,,,,,,,,,,,,,,,,
R_409204C,b-SWANHIL.1,b-SWANHIL.5,,,,,,,,,,,,,,,,,,,,,,,,,
R_409206B,,b-NYAH.5,,,,,,,,,,,,,,,,,,,,,,,,,
R_409207B,b-TORRDS.1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_409214A,b-PENTAL.1,b-PENTAL.5,,,,,,,,,,,,,,,,,,,,,,,,,
R_409215B,b-BARMAH.1,b-BARMAH.5,,,,,,,,,,,,,,,,,,,,,,,,,
R_409216A,,,b-YARRAUS.35,b-YARRAUS.36,b-YARRAUS.37,,,,,,,,,,,,,,,,,,,,,,
R_409219,,b-TORRUS.5,b-TORRUS.35,b-TORRUS.36,b-TORRUS.37,,,,,,,,,,,,,,,,,,,,,,
R_409701E,,,,,,,b-TORRDIV.50,,,,,,,,,b-TORRDIV.211,,,,,,,,,,,
R_409710A,,,,,,,,,,,,,,b-YMCESC.204,,,,,,,,,,,,,
R_409722A,,,,,,,b-YWCANAL.50,,,,,,,,,b-YWCANAL.211,,,,,,,,,,,
R_410001,,b-WAGGA.5,,,,,,,,,,,,,,,,,,,,,,,,,
R_410004,,b-GUNDAGI.5,,,,,,,,,,,,,,,,,,,,,,,,,
R_410017,b-CONARGO.1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_410021,b-DARLPT.1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_410040,b-MAUDE.1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_410041,b-REDBANK.1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_410091,,b-WALBUND.5,,,,,,,,,,,,,,,,,,,,,,,,,
R_410102,,,,b-BLOWERI.36,b-BLOWERI.37,,,,,,,,,,,,,,,,,,,,,,
R_41010941,,,b-MAUDEUS.35,,,,,,,,,,,,,,,,,,,,,,,,
R_41010966,,,b-REDBNUS.35,,,,,,,,,,,,,,,,,,,,,,,,
R_410130,b-BALRAN.1,b-BALRAN.5,,,,,,,,,,,,,,,,,,,,,b-BALRAN.466,b-BALRAN.490,,,
R_410131,,,,b-BURRINJ.36,b-BURRINJ.37,,,,,,,,,,,,,,,,,,,,,,
R_410133,b-COLEAMB.1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_410134,b-DARLOT.1,b-DARLOT.5,,,,,,,,,,,,,,,,,,,,,,,,,
