URBS_SUBCATCHID,URBS_MATCHID,ROWS_MATCHID,INCLUDE_MATCH_IN_URBS,MATCHING_ORDER,LAT,LONG,MATCHING_ADVICE
upper_murray_upper_m,BIGGARA,R_401012,FALSE,1,0,0,Always match with caution
upper_murray_upper_m,BRINGENBONG,R_401549,FALSE,2,0,0,Always match with caution
upper_murray_upper_m,MARAGLE,R_401009,FALSE,3,0,0,Always match with caution
upper_murray_upper_m,PINEGROVE,R_401014,FALSE,4,0,0,Always match with caution
upper_murray_upper_m,R_JINGELLIC,R_401201A,FALSE,5,0,0,Always match with caution
upper_murray_upper_m,CK_JINGELLIC,R_401013,FALSE,6,0,0,Always match with caution
upper_murray_upper_m,HINNOMUNJIE,R_401203A,FALSE,7,0,0,Always match with caution
upper_murray_upper_m,COLEMANS,R_401211A,FALSE,9,0,0,Always match with caution
upper_murray_upper_m,TALLANDOON,R_401204A,FALSE,10,0,0,Always match with caution
upper_murray_upper_m,YAMBLA,R_401015,FALSE,11,0,0,Always match with caution
upper_murray_upper_m,HEYWOODS,R_409016,FALSE,13,0,0,Always match with caution
upper_murray_upper_m,BANDIANA,R_402205A,FALSE,14,0,0,Always match with caution
upper_murray_upper_m,ALBURY,R_409001,FALSE,15,0,0,Always match with caution
