ROWS_SITE_ID,QSIM_URBSID,QRESIN_URBSID,QRESOUT_URBSID,QRELEASE_URBSID,OUT_URBS_SUBCATCHID,URBS_CATCHMENT_ID,HRESIN_URBS,VBFNAME_URBS,INITIAL_RESERVOIR_LEVEL
R_401027,HUME,HD_INFLOW,HUME_DAM,HD_RELEASE,upper_murray_upper_m,upper_murray,HUME_CAL,HUME,-99
R_409016,HEYWOODS,,,,upper_murray_upper_m,upper_murray,,,
R_401549,BRINGENBONG,,,,upper_murray_upper_m,upper_murray,,,
R_401009,MARAGLE,,,,upper_murray_upper_m,upper_murray,,,
R_409001,ALBURY,,,,upper_murray_upper_m,upper_murray,,,
R_409017,DOCTORS,,,,upper_murray_upper_m,upper_murray,,,
R_401015,YAMBLA,,,,upper_murray_upper_m,upper_murray,,,
R_401014,PINEGROVE,,,,upper_murray_upper_m,upper_murray,,,
R_401013,CK_JINGELLIC,,,,upper_murray_upper_m,upper_murray,,,
R_401012,BIGGARA,,,,upper_murray_upper_m,upper_murray,,,
R_402205A,BANDIANA,,,,upper_murray_upper_m,upper_murray,,,
R_401201A,R_JINGELLIC,,,,upper_murray_upper_m,upper_murray,,,
R_401211A,COLEMANS,,,,upper_murray_upper_m,upper_murray,,,
R_401203A,HINNOMUNJIE,,,,upper_murray_upper_m,upper_murray,,,
R_401204A,TALLANDOON,,,,upper_murray_upper_m,upper_murray,,,
R_401224A,DARTMOUTH,DD_INFLOW,DARTMOUTH_DAM,,upper_murray_upper_m,upper_murray,DARTMOUTH_CAL,DARTMOUTH,-99
