ReservoirName;Storage_m3;Elevation_m
ReservoirHume;0;154.61
ReservoirHume;0;154.62
ReservoirHume;1000;154.63
ReservoirHume;1000;154.64
ReservoirHume;1000;154.65
ReservoirHume;1000;154.66
ReservoirHume;1000;154.67
ReservoirHume;1000;154.68
ReservoirHume;1000;154.69
ReservoirHume;1000;154.7
ReservoirHume;1000;154.71
ReservoirHume;1000;154.72
ReservoirHume;1000;154.73
ReservoirHume;1000;154.74
ReservoirHume;1000;154.75
ReservoirHume;1000;154.76
ReservoirHume;1000;154.77
ReservoirHume;1000;154.78
ReservoirHume;1000;154.79
ReservoirHume;1000;154.8
ReservoirHume;1000;154.81
ReservoirHume;1000;154.82
ReservoirHume;1000;154.83
ReservoirHume;1000;154.84
ReservoirHume;1000;154.85
ReservoirHume;1000;154.86
ReservoirHume;1000;154.87
ReservoirHume;1000;154.88
ReservoirHume;1000;154.89
ReservoirHume;1000;154.9
ReservoirHume;1000;154.91
ReservoirHume;2000;154.92
ReservoirHume;2000;154.93
ReservoirHume;2000;154.94
ReservoirHume;2000;154.95
ReservoirHume;2000;154.96
ReservoirHume;2000;154.97
ReservoirHume;2000;154.98
ReservoirHume;2000;154.99
ReservoirHume;2000;155
ReservoirHume;2000;155.01
ReservoirHume;2000;155.02
ReservoirHume;2000;155.03
ReservoirHume;2000;155.04
ReservoirHume;2000;155.05
ReservoirHume;2000;155.06
ReservoirHume;2000;155.07
ReservoirHume;3000;155.08
ReservoirHume;3000;155.09
ReservoirHume;3000;155.1
ReservoirHume;3000;155.11
ReservoirHume;3000;155.12
ReservoirHume;3000;155.13
ReservoirHume;3000;155.14
ReservoirHume;3000;155.15
ReservoirHume;3000;155.16
ReservoirHume;3000;155.17
ReservoirHume;3000;155.18
ReservoirHume;4000;155.19
ReservoirHume;4000;155.2
ReservoirHume;4000;155.21
ReservoirHume;4000;155.22
ReservoirHume;4000;155.23
ReservoirHume;4000;155.24
ReservoirHume;4000;155.25
ReservoirHume;4000;155.26
ReservoirHume;4000;155.27
ReservoirHume;5000;155.28
ReservoirHume;5000;155.29
ReservoirHume;5000;155.3
ReservoirHume;5000;155.31
ReservoirHume;5000;155.32
ReservoirHume;5000;155.33
ReservoirHume;5000;155.34
ReservoirHume;5000;155.35
ReservoirHume;6000;155.36
ReservoirHume;6000;155.37
ReservoirHume;6000;155.38
ReservoirHume;6000;155.39
ReservoirHume;6000;155.4
ReservoirHume;6000;155.41
ReservoirHume;7000;155.42
ReservoirHume;7000;155.43
ReservoirHume;7000;155.44
ReservoirHume;7000;155.45
ReservoirHume;7000;155.46
ReservoirHume;7000;155.47
ReservoirHume;8000;155.48
ReservoirHume;8000;155.49
ReservoirHume;8000;155.5
ReservoirHume;8000;155.51
ReservoirHume;8000;155.52
ReservoirHume;9000;155.53
ReservoirHume;9000;155.54
ReservoirHume;9000;155.55
ReservoirHume;9000;155.56
ReservoirHume;9000;155.57
ReservoirHume;10000;155.58
ReservoirHume;10000;155.59
ReservoirHume;10000;155.6
ReservoirHume;10000;155.61
ReservoirHume;11000;155.62
ReservoirHume;11000;155.63
ReservoirHume;11000;155.64
ReservoirHume;11000;155.65
ReservoirHume;12000;155.66
ReservoirHume;12000;155.67
ReservoirHume;12000;155.68
ReservoirHume;13000;155.69
ReservoirHume;13000;155.7
ReservoirHume;13000;155.71
ReservoirHume;14000;155.72
ReservoirHume;14000;155.73
ReservoirHume;14000;155.74
ReservoirHume;15000;155.75
ReservoirHume;15000;155.76
ReservoirHume;15000;155.77
ReservoirHume;16000;155.78
ReservoirHume;16000;155.79
ReservoirHume;16000;155.8
ReservoirHume;17000;155.81
ReservoirHume;17000;155.82
ReservoirHume;17000;155.83
ReservoirHume;18000;155.84
ReservoirHume;18000;155.85
ReservoirHume;19000;155.86
ReservoirHume;19000;155.87
ReservoirHume;20000;155.88
ReservoirHume;20000;155.89
ReservoirHume;20000;155.9
ReservoirHume;21000;155.91
ReservoirHume;21000;155.92
ReservoirHume;22000;155.93
ReservoirHume;22000;155.94
ReservoirHume;23000;155.95
ReservoirHume;23000;155.96
ReservoirHume;24000;155.97
ReservoirHume;24000;155.98
ReservoirHume;25000;155.99
ReservoirHume;26000;156
ReservoirHume;26000;156.01
ReservoirHume;27000;156.02
ReservoirHume;27000;156.03
ReservoirHume;28000;156.04
ReservoirHume;28000;156.05
ReservoirHume;29000;156.06
ReservoirHume;30000;156.07
ReservoirHume;30000;156.08
ReservoirHume;31000;156.09
ReservoirHume;31000;156.1
ReservoirHume;32000;156.11
ReservoirHume;33000;156.12
ReservoirHume;33000;156.13
ReservoirHume;34000;156.14
ReservoirHume;35000;156.15
ReservoirHume;35000;156.16
ReservoirHume;36000;156.17
ReservoirHume;37000;156.18
ReservoirHume;38000;156.19
ReservoirHume;38000;156.2
ReservoirHume;39000;156.21
ReservoirHume;40000;156.22
ReservoirHume;41000;156.23
ReservoirHume;42000;156.24
ReservoirHume;42000;156.25
ReservoirHume;43000;156.26
ReservoirHume;44000;156.27
ReservoirHume;45000;156.28
ReservoirHume;46000;156.29
ReservoirHume;47000;156.3
ReservoirHume;48000;156.31
ReservoirHume;48000;156.32
ReservoirHume;49000;156.33
ReservoirHume;50000;156.34
ReservoirHume;51000;156.35
ReservoirHume;52000;156.36
ReservoirHume;53000;156.37
ReservoirHume;54000;156.38
ReservoirHume;55000;156.39
ReservoirHume;56000;156.4
ReservoirHume;57000;156.41
ReservoirHume;58000;156.42
ReservoirHume;59000;156.43
ReservoirHume;60000;156.44
ReservoirHume;62000;156.45
ReservoirHume;63000;156.46
ReservoirHume;64000;156.47
ReservoirHume;65000;156.48
ReservoirHume;66000;156.49
ReservoirHume;67000;156.5
ReservoirHume;69000;156.51
ReservoirHume;70000;156.52
ReservoirHume;71000;156.53
ReservoirHume;72000;156.54
ReservoirHume;74000;156.55
ReservoirHume;75000;156.56
ReservoirHume;76000;156.57
ReservoirHume;78000;156.58
ReservoirHume;79000;156.59
ReservoirHume;80000;156.6
ReservoirHume;82000;156.61
ReservoirHume;83000;156.62
ReservoirHume;85000;156.63
ReservoirHume;86000;156.64
ReservoirHume;88000;156.65
ReservoirHume;89000;156.66
ReservoirHume;90000;156.67
ReservoirHume;92000;156.68
ReservoirHume;94000;156.69
ReservoirHume;95000;156.7
ReservoirHume;97000;156.71
ReservoirHume;98000;156.72
ReservoirHume;100000;156.73
ReservoirHume;101000;156.74
ReservoirHume;103000;156.75
ReservoirHume;105000;156.76
ReservoirHume;106000;156.77
ReservoirHume;108000;156.78
ReservoirHume;110000;156.79
ReservoirHume;112000;156.8
ReservoirHume;113000;156.81
ReservoirHume;115000;156.82
ReservoirHume;117000;156.83
ReservoirHume;119000;156.84
ReservoirHume;120000;156.85
ReservoirHume;122000;156.86
ReservoirHume;124000;156.87
ReservoirHume;126000;156.88
ReservoirHume;128000;156.89
ReservoirHume;130000;156.9
ReservoirHume;132000;156.91
ReservoirHume;134000;156.92
ReservoirHume;136000;156.93
ReservoirHume;138000;156.94
ReservoirHume;140000;156.95
ReservoirHume;142000;156.96
ReservoirHume;144000;156.97
ReservoirHume;146000;156.98
ReservoirHume;148000;156.99
ReservoirHume;150000;157
ReservoirHume;152000;157.01
ReservoirHume;155000;157.02
ReservoirHume;157000;157.03
